     11100     10589
     61350     61252
      2950      2852
     64300     64748
      2950      3291
     64300     64973
      8850      8485
      8850      7835
      8800      9183
      8800      9806
     64250     65445
     64250     66944
      8000      6468
     13900     10188
     61350     58977
     61350     56755
     11000     10125
      4900      5769
      4900      5781
     10750     10973
      7000      6122
     56449     57097
     10750     10981
      5250      5025
      5250      5012
     50949     51157
      7491      7521
      7491      7517
      7350      7310
      7350      7325
     50808     50945
      8500      8384
     50808     50956
      8500      8377
      4000      4117
      4000      4124
     46308     46678
     46308     46703
      4350      3833
      4350      3839
      5100      5613
      5100      5615
     38400     37875
     38400     37890
     11100     10583
     50949     51148
     56449     57126
     61350     61682
