TRIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
28,0,0,71.08,0,0,0,54.01,0,0,90.72,0,158.29,45.8,302.38,0,0,0,0,0,30.64,0,0,117.8,130.51,178.51,0,4342.15,0,5388.83,0,0,0,169.99,0,0,0,0,0,0,0,565.73,0,0,463.13,621.64
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5322.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776.79,944.05,0,0,0,0,0,0,0,0,0
31,0,0,99.92,13.82,0,0,223.07,0,0,505.49,0,395.35,30.5,837.14,0,0,1446.78,0,0,597.11,0,0,432.02,764.4,493.69,117.27,1358.11,0,0,0,0,0,0,0,0,0,0,0,0,0,4790.19,0,0,1576.77,2467.23
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,617.42,13.86,0,0,303.55,0,0,708.98,0,311.15,440.53,1304.94,0,0,2108.7,0,0,1090.6,0,0,774.78,976.49,658.45,186.42,2484.46,88.02,0,0,0,0,0,0,0,0,0,0,0,0,10462.72,0,0,2197.84,4624.7
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363.29,0,0,0,0,0,6625.31,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244.74,0,0,0,0,5956.71,0,0,0,0,0,0,0,0,0,0
37,5199.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,167.68,37.57,0,0,263.84,0,0,0.45,0,75.06,15.85,178.01,0,0,352.61,0,0,672.16,0,0,1307.81,105.54,2338.19,81.19,633.48,161.07,0,0,0,0,0,0,0,0,0,0,0,0,3198.45,0,0,1257.28,3647.13
40,0,0,0,0,18.18,0,212.47,0,0,11087.57,0,6098.18,4851.85,706.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15947.49,0,0,7718.04,13575.19
43,0,0,1045.83,378.82,10.17,1366.2,0.33,0,0,8174.21,18544.81,0,1562.73,6281.14,0,4232.88,2222.53,0,402.67,3790.75,0,3827.22,4998.72,1013.57,3020.62,3227.99,60.37,2743.55,0,0,0,7389.27,7749.85,0,0,0,0,5947.51,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
