"","Seg","Hour","EL_NB","EL_SB","GU_NB","GU_SB","Corridor","Share_XL_NB","Share_XL_SB","VC_EL_NB","VC_EL_SB","VC_GU_NB","VC_GU_SB","Speed_EL_NB","Speed_EL_SB","Speed_GU_NB","Speed_GU_SB","Toll_EL_NB","Toll_EL_SB"
"1",1,300,2657.49914,2792.85956,44898.68085,44783.14089,95132.18044,1.10221808136078,1.10155124739341,1.2838,1.3492,7.26377,7.24505,1439.66492,1439.65619,1439.45997,1439.10162,0.18,0.36
"2",2,300,5756.6604,4869.85319,47496.4798,48785.51682,106908.51021,2.13009704280279,1.79554734031858,2.78096,2.35256,7.68402,7.89257,1439.43257,1439.54991,1437.11882,1439.3257,0.36067,0.18
