TRIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18733.91
12,0,0,0,0,2.67,0,0,0,0,1741.67,0,0,54.35,1807.15,0,106.2,105.57,0,0,264.48,0,0,92.97,85.45,0,0,0,0,0,0,0,481.32,485.45,0,0,0,0,208.84,0,0,8839.42,0,0,4636.8,0
13,0,0,0,0,0.35,0,581.5,0,0,1248.86,0,4.41,0,17222.28,0,74.53,83.74,0,0,751.16,0,0,74.34,1.02,0,0,0,0,0,0,0,651.69,647.35,0,0,0,0,118.84,0,0,7163.46,0,0,3974.77,0
14,0,0,0,0,2.04,0,2136.3,0,0,2754.77,0,2219.7,16894.19,0,0,194.67,0,0,0,891.81,0,0,116.35,1.05,0,0,0,0,0,0,0,747.3,736.85,0,0,0,0,207.26,0,0,1281.79,0,0,759.67,0
15,0,2961.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,228.94,0,0,623.5,0,325.52,62.66,648.33,0,0,19204.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.77,0,0,0,0,0,0,0,0,3289.16,0,0,1979.95,0
17,0,0,0,0,4.36,0,20.65,0,0,102.37,0,298.81,543.96,0,0,20131.45,0,0,0,768.79,0,0,0,0,0,0,0,0,0,0,0,1061.69,798.47,0,0,0,0,1.58,0,0,107.88,0,0,101.14,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5651.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,71.14,208.25,0,0,6.04,0,10.54,2.07,0,0,0,0,0,0,0,0,18362.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0
20,0,0,0,0,915.08,0,331.23,0,0,21.55,0,10.05,56.41,413.04,0,0,709.5,0,0,0,14978.8,0,144.13,128.39,0,695.99,0,0,0,0,0,759.29,765.2,0,0,0,0,274.69,0,0,3423.77,0,0,1154.66,3.98
21,0,0,0,0,1875.41,0,0.29,0,0,0.38,0,0.17,0,0.05,0,0,0,5755.26,0,15565.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0.96,0
22,0,0,0,0,0,2444.27,794.28,0,0,1005.89,0,155.83,568.14,0,0,0,0,0,17928.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809.49,0,0,196.11,0
23,0,0,0,0,0,0,141.88,0,0,201.89,0,257.7,34.82,584.86,0,0,345.88,0,0,450.44,0,0,0,16319.55,0,1298.54,0,0,0,0,0,554.85,582.08,0,0,0,0,500.91,0,0,1526.99,0,0,606.86,1968.25
24,0,0,0,0,0,0,0.12,0,0,7.44,0,31.64,5.16,8.62,0,0,0,0,0,57.48,0,0,16185.11,0,0,13.66,0,0,0,0,0,609.37,601.54,0,0,0,0,64.04,0,0,24.11,0,0,6.54,353.75
25,0,0,0,7.25,0,0,48.19,0,0,81.45,0,10.37,0.69,490.72,0,0,0,0,0,0,0,0,0,0,0,11592.7,0,0,0,0,0,202.88,188.61,0,0,0,0,1683.27,0,0,398.73,0,0,130.69,517.83
26,0,0,0,207.39,0,0,58.8,0,0,81.43,0,194.77,0.69,511.38,0,0,2.27,0,0,1476.86,0,0,1948.37,209.39,11449.44,0,0,0,0,0,0,152.22,149.13,0,0,0,0,0,0,0,116.99,0,0,151.9,1062.94
27,0,0,714.67,0,0,0,0.04,0,0,1.85,0,0,0,0,0,0,0,0,0,2.51,0,0,0,1.05,0,0,0,4511.66,0,0,0,1084.22,1342.64,0,0,0,0,0,0,0,67.48,0,0,213.33,5.43
28,0,0,71.08,0.44,0,0,54.01,0,0,233.58,0,130.98,1.9,325.23,0,0,0,0,0,3.28,0,0,68.44,63.94,83.59,0.53,4342.15,0,5388.83,0,0,0,72.86,0,0,0,0,0,0,0,101.63,0,0,67.15,621.64
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5322.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776.79,944.05,0,0,0,0,0,0,0,0,0
31,0,0,50.88,24.89,0,0,223.07,0,0,118.73,0,159.56,52.32,366.86,0,0,612.61,0,0,86.08,0,0,117.73,164.04,76.77,39.12,616.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3742.58,0,0,429.36,2467.23
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,88.83,25.22,0,0,303.55,0,0,141.13,0,166.93,146.42,530.06,0,0,1373.16,0,0,474.18,0,0,165.29,354.66,180,46.04,1743.17,38.98,0,0,0,0,0,0,0,0,0,0,0,0,9408.51,0,0,1061.59,4624.7
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363.29,0,0,0,0,0,6625.31,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244.74,0,0,0,0,5956.71,0,0,0,0,0,0,0,0,0,0
37,5199.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,11.62,10.04,0,0,263.84,0,0,81.96,0,52.76,17.35,45.84,0,0,0.75,0,0,298.64,0,0,949.24,98.65,2109.4,39.17,141.95,4.98,0,0,0,0,0,0,0,0,0,0,0,0,2367.85,0,0,372.43,3647.13
40,0,0,0,0,18.18,0,212.47,0,0,11087.57,0,6098.18,4729.81,584.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15947.49,0,0,7718.04,13575.19
43,0,0,978.12,306.55,10.17,1081.68,0.33,0,0,8174.21,18544.81,0,1079.8,3469.25,0,3096.32,2524.8,0,591.86,3206.26,0,2434.03,2710.18,822.21,1817.97,1837.69,3.69,1024.95,0,0,0,4510.04,4890.33,0,0,0,0,3544.01,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
