"Seg","Hour","GU_NB","GU_SB","EL_NB","EL_SB","Corridor","Share_XL_NB","Share_XL_SB","VC_GU_NB","VC_GU_SB","VC_EL_NB","VC_EL_SB","Speed_GU_NB","Speed_GU_SB","Speed_EL_NB","Speed_EL_SB","Toll_EL_NB","Toll_EL_SB"
1,1,112.56854,83.03836,3.63146,3.22164,202.46,0.0322599902246223,0.0387970089968058,0.01821,0.01343,0.00175,0.00156,59.99687,59.99702,59.99212,59.99214,0,0
1,2,65.27755,53.74582,2.22246,2.08418,123.33001,0.0340463145445869,0.038778457561909,0.01056,0.0087,0.00107,0.00101,59.99711,59.99716,59.99218,59.99218,0,0
1,3,51.19811,45.44608,1.81189,1.76392,100.22,0.0353897829431594,0.0388134686203959,0.00828,0.00735,0.00088,0.00085,59.99717,59.9972,59.9922,59.9922,0,0
1,4,81.31027,84.15314,3.12973,3.26687,171.86001,0.0384912016649311,0.0388205359895068,0.01315,0.01361,0.00151,0.00158,59.99703,59.99701,59.99214,59.99214,0,0
1,5,216.78722,248.21101,8.84279,9.63899,483.48001,0.0407901812662204,0.0388338535023084,0.03507,0.04016,0.00427,0.00466,59.99636,59.9962,59.9919,59.99187,0,0
1,6,712.78741,836.802,29.5126,32.50802,1611.61003,0.041404491137126,0.0388479234036248,0.11532,0.13538,0.01426,0.0157,59.99361,59.99283,59.99103,59.9909,0,0
1,7,2390.66895,2814.5769,27.72112,43.97314,5276.94011,0.0115955494381604,0.0156233571020923,0.38676,0.45534,0.01339,0.02124,59.97792,59.97092,59.9911,59.9904,0,0
1,8,3044.0061,3509.32886,75.26395,116.37103,6744.96994,0.0247252953928049,0.0331604801494722,0.49246,0.56774,0.03636,0.05622,59.96616,59.95323,59.98902,59.98713,0,0
1,9,2748.82861,3135.97095,68.50135,103.01915,6056.32006,0.0249201968252215,0.0328507985700569,0.44471,0.50734,0.03309,0.04977,59.97215,59.96399,59.98932,59.98775,0,0
1,10,1802.5575,2050.06079,285.48254,310.63931,4448.74014,0.158376384664567,0.151526877405426,0.29162,0.33166,0.13791,0.15007,59.98501,59.98232,59.97829,59.97681,0,0
1,11,1435.44019,1572.23315,97.21982,104.08688,3208.98004,0.0677282276734916,0.0662032091105572,0.23223,0.25436,0.04697,0.05028,59.98841,59.98722,59.98801,59.9877,0,0
1,12,1325.94873,1402.45923,129.46133,136.5808,2994.45009,0.0976367540244184,0.0973866455996728,0.21451,0.22689,0.06254,0.06598,59.98931,59.98869,59.9865,59.98616,0,0
1,13,1296.56384,1331.28113,124.46618,129.67892,2881.99007,0.0959969545348419,0.0974091174867024,0.20976,0.21538,0.06013,0.06265,59.98954,59.98927,59.98674,59.98649,0,0
1,14,1249.26428,1238.59558,117.55574,120.64449,2726.06009,0.0940999769880557,0.0974042633027966,0.20211,0.20038,0.05679,0.05828,59.98992,59.99,59.98707,59.98692,0,0
1,15,1308.33105,1244.83899,81.84891,82.451,2717.46995,0.0625597856138934,0.0662342685779789,0.21166,0.20139,0.03954,0.03983,59.98945,59.98996,59.98872,59.98869,0,0
1,16,1390.47729,1191.98462,187.09267,180.72533,2950.27991,0.13455284120462,0.151617166000011,0.22495,0.19284,0.09038,0.08731,59.98878,59.99035,59.98365,59.98397,0,0
1,17,1648.58557,1407.55664,209.12448,45.9334,3311.20009,0.126850849483051,0.0326334292309544,0.26671,0.22772,0.10103,0.02219,59.98652,59.98865,59.98251,59.99032,0,0
1,18,1795.04126,1530.44006,227.66876,49.94991,3603.09999,0.12683204841765,0.0326376127399593,0.2904,0.2476,0.10998,0.02413,59.98508,59.98759,59.98151,59.99014,0,0
1,19,1555.84534,1274.22241,87.99464,19.3776,2937.43999,0.056557446770384,0.0152073922479514,0.25171,0.20614,0.04251,0.00936,59.98737,59.98972,59.98845,59.99146,0,0
1,20,949.92688,776.32324,32.2731,30.17674,1788.69996,0.0339742991586889,0.0388713598217155,0.15368,0.12559,0.01559,0.01458,59.99208,59.99322,59.99091,59.991,0,0
1,21,659.26019,538.95728,22.36985,20.91275,1241.50007,0.033931747039056,0.0388022405041082,0.10666,0.08719,0.01081,0.0101,59.99393,59.99463,59.99133,59.99139,0,0
1,22,581.9917,474.46204,19.71827,18.40796,1094.57997,0.0338806721814074,0.038797540051887,0.09416,0.07676,0.00953,0.00889,59.99439,59.995,59.99145,59.9915,0,0
1,23,401.86783,315.3551,13.3622,12.23489,742.82002,0.0332502355314184,0.0387971845072428,0.06501,0.05102,0.00646,0.00591,59.9954,59.99585,59.99171,59.99176,0,0
1,24,242.0305,186.74564,7.97949,7.24438,444.00001,0.0329689439967277,0.038792766460304,0.03916,0.03021,0.00385,0.0035,59.99623,59.99651,59.99194,59.99197,0,0
2,1,93.76314,136.35812,3.98686,4.52187,238.62999,0.042520546986801,0.0331617215021738,0.01517,0.02206,0.00193,0.00218,59.99697,59.99676,59.99211,59.99208,0,0
