"","Seg","Hour","EL_NB","EL_SB","GU_NB","GU_SB","Corridor","Share_XL_NB","Share_XL_SB","VC_EL_NB","VC_EL_SB","VC_GU_NB","VC_GU_SB","Speed_EL_NB","Speed_EL_SB","Speed_GU_NB","Speed_GU_SB","Toll_EL_NB","Toll_EL_SB"
"1",1,300,1864.25533,1584.8913,27066.56491,27346.78902,57862.50056,1.4728201707191,1.31684695694344,0.9006,0.76565,4.37885,4.42418,1439.7298,1439.74299,1439.7458,1439.72454,0,0
"2",2,300,3355.33787,2854.10283,29427.87225,29932.27708,65569.59003,2.06321098916193,1.7057113489753,1.62093,1.37882,4.76086,4.84245,1439.64573,1439.6769,1439.70276,1439.72248,0,0
