       187       715
      2404       773
       111       209
      2515      4597
        52      1282
      1182      3354
       271      1110
       127       982
       322       332
       151       155
      2566      3819
      1206      2527
       554       471
       260       333
      2238      3348
       184       613
      1052      2194
       226       518
        86       510
       158       409
       106       474
       965      2157
       337       376
      1902      3108
       259       384
       122       346
      1914      3148
       358       470
       899      2123
       168       331
       159       308
        75       267
      1715      2986
       806      2059
       120       171
        57        98
       162       172
        76       157
      1360      2051
       639      1403
       397       936
       893      2015
      2055      3253
      1129      2072
