      6600       107
     39950       426
      1850         1
     41800       881
      1850       220
     41800       220
      4500        96
      4500         0
      5350        53
      5350         5
     42650       838
     42650       225
      6000       149
      9200        27
     37200       689
     37200       198
      3750       121
      3050       204
      3050        10
      5600        30
      3750        34
     34150       222
      5600        65
      3050        39
      3050        86
     31600       709
      4100       139
      4100        13
      4300        74
      4300        52
     31800       643
      5950       169
     31800       271
      5950        67
      2650        99
      2650        83
     28500       574
     28500       286
      2000        58
      2000         0
      2700        92
      2700        56
     22600       433
     22600       235
      6600       175
     31600       232
     34150       687
     39950         0
