        12      4039
       168      2514
       168     12540
       175     13845
        76      4576
       156     13073
        79      5900
        71      5035
       156     13073
        71      5035
       179     14004
        81      6001
       156     13001
        70      4990
       156     13001
       127     10004
        70      4990
        58      3961
        65      4989
       143     10992
       120     10005
        54      3987
       133     10978
        60      4026
       115      8991
        52      3954
       133     10990
       133      9971
        60      3994
        60      3971
       108      9971
        49      3971
       120     10035
        54      4069
       120      9514
       111      9514
        54      3945
        50      3945
        95      8027
        43      4041
        28      4012
       133     10978
        60      4026
       143     10992
        65      4989
        76      4576
